"素材位编号","对应页面","对应模块","对应内容岛","对应实体","图片文件名","图片来源链接","来源类型","是否真实图","适用终端","推荐用途","是否需要设计化处理","风险备注","推荐级"
"P0-04","HeritageListView","专题头图","客家/非遗线","客家围屋","P0-04_HakkaCulture_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/8dcc8823a68742bf8fb3c4f5afff641a.shtml","官方","是","两者都可","专题头图","轻度","横向空间完整，适合叠字和加遮罩","主选"
"P0-04","HeritageListView","专题头图","客家/非遗线","赣南采茶戏","P0-04_HakkaCulture_culture_02.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=1809","其他可靠来源","是","桌面","专题头图","轻度","舞台灯光强，适合辅图或二号头图","备选"
"P0-04","HeritageListView","专题头图","客家/非遗线","客家擂茶","P0-04_HakkaCulture_culture_03.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=2250","其他可靠来源","是","两者都可","专题头图","轻度","人手与器具信息明确，适合文化体验向头图","备选"
"P0-05","RedCultureListView","专题头图","红色文化线","瑞金旧址","P0-05_RedCulture_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","桌面","专题头图","轻度","旧址辨识度强，但分辨率偏低","备选"
"P0-05","RedCultureListView","专题头图","红色文化线","中华苏维埃纪念园","P0-05_RedCulture_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","桌面","专题头图","轻度","画面含边角标识，裁切时避开右下","备选"
"P0-05","RedCultureListView","专题头图","红色文化线","红色纪念雕塑","P0-05_RedCulture_official_03.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","两者都可","专题头图","轻度","晚霞氛围强，适合稳重但不宜叠太多字","主选"
"P0-06","ScenicDetailView","景点详情主图","老城总线","通天岩","P0-06_Tongtianyan_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/00f383fb831e4cc18a0288c351ded2c4.shtml","官方","是","两者都可","详情主图","否","右上带官方角标，避免放大裁切","主选"
"P0-06","ScenicDetailView","景点详情主图","老城总线","通天岩","P0-06_Tongtianyan_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/00f383fb831e4cc18a0288c351ded2c4.shtml","官方","是","两者都可","详情主图","否","同样带角标，适合作为备选","备选"
"P0-07","ScenicDetailView","景点详情主图","老城总线","郁孤台","P0-07_Yugutai_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","详情主图","否","枝叶遮挡较多，但主体清晰","主选"
"P0-07","ScenicDetailView","景点详情主图","老城总线","郁孤台历史街区","P0-07_Yugutai_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","桌面","详情主图","否","更像街区环境照，适合作为备选","备选"
"P0-08","ScenicDetailView","景点详情主图","老城总线","古浮桥","P0-08_AncientFloatingBridge_culture_01.jpg","https://www.gzswhg.com.cn/tsk_show.aspx?id=1114","其他可靠来源","是","两者都可","详情主图","否","俯拍线条清晰，桌面与移动都好裁","备选"
"P0-08","ScenicDetailView","景点详情主图","老城总线","古浮桥","P0-08_AncientFloatingBridge_culture_02.jpg","https://www.gzswhg.com.cn/tsk_show.aspx?id=1114","其他可靠来源","是","移动","详情主图","否","纵向透视强，适合详情首屏和移动端","主选"
"P0-09","ScenicDetailView","景点详情主图","客家/非遗线","客家文化城","P0-09_HakkaCultureCity_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/a526cccc2ed34a9d8aedf01fce10e5ed.shtml","官方","是","两者都可","详情主图","否","中轴对称，适合详情页主图","主选"
"P0-09","ScenicDetailView","景点详情主图","客家/非遗线","客家文化城","P0-09_HakkaCultureCity_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/a526cccc2ed34a9d8aedf01fce10e5ed.shtml","官方","是","两者都可","详情主图","否","适合作为补充视角","备选"
"P0-10","ScenicDetailView","景点详情主图","老城总线","福寿沟博物馆","P0-10_Fushougou_media_01.jpg","https://pic.people.com.cn/n1/2020/1117/c420001-31934048.html","媒体","是","两者都可","详情主图","否","外立面清晰，但像素偏低","主选"
"P0-10","ScenicDetailView","景点详情主图","老城总线","福寿沟遗址剖面","P0-10_Fushougou_media_02.jpg","https://pic.people.com.cn/n1/2020/1117/c420001-31934048.html","媒体","是","桌面","详情主图","否","更适合详情页内图，分辨率偏低","备选"
"P0-11","ScenicDetailView","景点详情主图","生态休闲线","三百山水域风光","P0-11_Sanbaishan_media_01.jpg","https://www.jx.chinanews.com.cn/news/2023/1026/86827.html","媒体","是","桌面","详情主图","否","媒体水印明显，暂仅建议作备选","备选"
"P0-11","ScenicDetailView","景点详情主图","生态休闲线","三百山悬索桥","P0-11_Sanbaishan_media_02.jpg","https://www.jx.chinanews.com.cn/news/2023/1026/86827.html","媒体","是","两者都可","详情主图","否","画面真实但有明显媒体水印，需继续补官方无水印版本","主选"
"P0-12","ScenicDetailView","景点详情主图","生态休闲线","丫山景区","P0-12_Yashan_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/ff594b72e77a4234aa63a060835af2f1.shtml","官方","是","桌面","详情主图","否","山地度假感强，适合作为备选","备选"
"P0-12","ScenicDetailView","景点详情主图","生态休闲线","丫山景区","P0-12_Yashan_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/ff594b72e77a4234aa63a060835af2f1.shtml","官方","是","两者都可","详情主图","轻度","晨雾氛围强，适合生态休闲方向主图","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","城市风味与老城体验","赣南小炒鱼","P0-13_GanzhouFriedFish_sina_01.jpg","https://k.sina.cn/article_5457629507_1454cd143001001nga.html","媒体","是","两者都可","推荐卡片","轻度","分辨率一般，推荐小尺寸卡片使用","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","客家/非遗线","赣南采茶戏","P0-13_GannanTeaPickingOpera_culture_01.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=1809","其他可靠来源","是","桌面","推荐卡片","轻度","舞台画面适合横卡，色彩需压暗","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","客家/非遗线","客家擂茶","P0-13_HakkaLeicha_culture_01.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=2250","其他可靠来源","是","两者都可","推荐卡片","轻度","手作过程信息明确，适合文化卡片","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","红色文化线","瑞金红色遗址","P0-13_RuijinRedSites_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","两者都可","推荐卡片","否","构图稳定，适合内容卡片","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","老城总线","江南宋城","P0-13_JiangnanSongcheng_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","推荐卡片","轻度","古城墙线条明确，适合内容承接卡","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","客家/非遗线","客家围屋","P0-13_HakkaWeiwu_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/8dcc8823a68742bf8fb3c4f5afff641a.shtml","官方","是","两者都可","推荐卡片","轻度","横向主体完整，适合卡片与承接位","主选"
