"素材位编号","对应页面","对应模块","对应内容岛","对应实体","图片文件名","图片来源链接","来源类型","是否真实图","适用终端","推荐用途","是否需要设计化处理","风险备注","推荐级"
"P0-02（城市风味与老城体验）","HomeView","三主题入口","老城总线","夜市生活场景","P0-02_OldCityLife_media_03.jpg","https://www.hakkaheadline.com/v/2024/05/520.html","媒体","是","桌面","推荐卡片","轻度","生活气息强，但画面更像活动快照","备选"
"P0-03","FoodListView","专题头图","城市风味与老城体验","赣南小炒鱼","P0-03_FoodTopic_sina_01.jpg","https://k.sina.cn/article_5457629507_1454cd143001001nga.html","媒体","是","桌面","专题头图","中度","菜品特写分辨率偏低，更适合作为拼贴元素","备选"
"P0-03","FoodListView","专题头图","城市风味与老城体验","宁都肉丸","P0-03_FoodTopic_cyw_02.jpg","https://m.cyw.com/delicacy/432","其他可靠来源","是","两者都可","专题头图","轻度","菜品清晰，但专题定调能力不足","备选"
"P0-03","FoodListView","专题头图","城市风味与老城体验","夜市风味场景","P0-03_FoodTopic_media_03.jpg","https://www.hakkaheadline.com/v/2024/05/520.html","媒体","是","两者都可","专题头图","轻度","可用，但门头与摊位信息偏杂，不如新主选完整","备选"
"P0-03","FoodListView","专题头图","城市风味与老城体验","江南宋城夜游街区","P0-03_FoodTopic_official_04.png","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","专题头图","轻度","灯笼街巷和人流锚点明确，更适合专题定调与横裁","主选"
"P0-04","HeritageListView","专题头图","客家/非遗线","客家围屋","P0-04_HakkaCulture_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/8dcc8823a68742bf8fb3c4f5afff641a.shtml","官方","是","两者都可","专题头图","轻度","建筑稳定，但更像景区总览图","备选"
"P0-04","HeritageListView","专题头图","客家/非遗线","赣南采茶戏","P0-04_HakkaCulture_culture_02.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=1809","其他可靠来源","是","桌面","专题头图","轻度","戏台气氛强，但光比和舞台感偏重","备选"
"P0-04","HeritageListView","专题头图","客家/非遗线","客家擂茶","P0-04_HakkaCulture_culture_03.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=2250","其他可靠来源","是","两者都可","专题头图","轻度","手作场景与器具信息明确，最符合非遗专题定调","主选"
"P0-05","RedCultureListView","专题头图","红色文化线","瑞金旧址","P0-05_RedCulture_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","桌面","专题头图","轻度","旧址辨识度强，但更适合入口卡或内容卡","备选"
"P0-05","RedCultureListView","专题头图","红色文化线","中华苏维埃纪念园","P0-05_RedCulture_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","桌面","专题头图","轻度","白边与角标明显，不适合做主头图","备选"
"P0-05","RedCultureListView","专题头图","红色文化线","红色纪念雕塑","P0-05_RedCulture_official_03.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","两者都可","专题头图","轻度","红星与晚霞视觉过强，更像宣传海报","备选"
"P0-05","RedCultureListView","专题头图","红色文化线","红色纪念馆与纪念碑","P0-05_RedCulture_official_04.png","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","两者都可","专题头图","轻度","广场、旗杆和纪念馆关系清楚，更适合专题页叠字","主选"
"P0-06","ScenicDetailView","景点详情主图","老城总线","通天岩","P0-06_Tongtianyan_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/00f383fb831e4cc18a0288c351ded2c4.shtml","官方","是","两者都可","详情主图","否","山体全景真实，但景点锚点偏弱且右上角标影响裁切","备选"
"P0-06","ScenicDetailView","景点详情主图","老城总线","通天岩","P0-06_Tongtianyan_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/00f383fb831e4cc18a0288c351ded2c4.shtml","官方","是","两者都可","详情主图","否","入口辨识度高，但道路与前景占比偏大","备选"
"P0-06","ScenicDetailView","景点详情主图","老城总线","通天岩石窟造像","P0-06_Tongtianyan_official_03.png","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/00f383fb831e4cc18a0288c351ded2c4.shtml","官方","是","两者都可","详情主图","否","石窟主体明确，横裁后仍能保留地点识别度","主选"
"P0-07","ScenicDetailView","景点详情主图","老城总线","郁孤台","P0-07_Yugutai_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","详情主图","否","枝叶遮挡较多，首图辨识度不如备选视角","备选"
"P0-07","ScenicDetailView","景点详情主图","老城总线","郁孤台历史街区","P0-07_Yugutai_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","详情主图","否","古城墙步道与台阁同框，地点识别更完整","主选"
"P0-08","ScenicDetailView","景点详情主图","老城总线","古浮桥","P0-08_AncientFloatingBridge_culture_01.jpg","https://www.gzswhg.com.cn/tsk_show.aspx?id=1114","其他可靠来源","是","两者都可","详情主图","否","俯拍线条清晰，但更像资料型桥体图","备选"
"P0-08","ScenicDetailView","景点详情主图","老城总线","古浮桥","P0-08_AncientFloatingBridge_culture_02.jpg","https://www.gzswhg.com.cn/tsk_show.aspx?id=1114","其他可靠来源","是","移动","详情主图","否","实体锚点强，但纵图横裁损失大，当前仍缺更适合首图的横向版本","临时主选"
"P0-09","ScenicDetailView","景点详情主图","客家/非遗线","客家文化城","P0-09_HakkaCultureCity_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/a526cccc2ed34a9d8aedf01fce10e5ed.shtml","官方","是","两者都可","详情主图","否","中轴对称且主体明确，适合详情页首图","主选"
"P0-09","ScenicDetailView","景点详情主图","客家/非遗线","客家文化城","P0-09_HakkaCultureCity_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/a526cccc2ed34a9d8aedf01fce10e5ed.shtml","官方","是","两者都可","详情主图","否","适合作为补充视角","备选"
"P0-10","ScenicDetailView","景点详情主图","老城总线","福寿沟博物馆","P0-10_Fushougou_media_01.jpg","https://pic.people.com.cn/n1/2020/1117/c420001-31934048.html","媒体","是","两者都可","详情主图","否","外立面识别度够，但像素过低，仍需补更高清版本","临时主选"
"P0-10","ScenicDetailView","景点详情主图","老城总线","福寿沟遗址剖面","P0-10_Fushougou_media_02.jpg","https://pic.people.com.cn/n1/2020/1117/c420001-31934048.html","媒体","是","桌面","详情主图","否","更适合作为详情页内图，不适合承担首图职责","备选"
"P0-11","ScenicDetailView","景点详情主图","生态休闲线","三百山水域风光","P0-11_Sanbaishan_media_01.jpg","https://www.jx.chinanews.com.cn/news/2023/1026/86827.html","媒体","是","桌面","详情主图","否","既是泛景又带水印，不宜做详情主图","备选"
"P0-11","ScenicDetailView","景点详情主图","生态休闲线","三百山悬索桥","P0-11_Sanbaishan_media_02.jpg","https://www.jx.chinanews.com.cn/news/2023/1026/86827.html","媒体","是","两者都可","详情主图","否","悬索桥锚点明确，但明显媒体水印不能直接上站","临时主选"
"P0-12","ScenicDetailView","景点详情主图","生态休闲线","丫山景区","P0-12_Yashan_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/ff594b72e77a4234aa63a060835af2f1.shtml","官方","是","两者都可","详情主图","否","建筑与远山层次同时保留，更利于景区识别","主选"
"P0-12","ScenicDetailView","景点详情主图","生态休闲线","丫山景区","P0-12_Yashan_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/ff594b72e77a4234aa63a060835af2f1.shtml","官方","是","两者都可","详情主图","轻度","晨雾氛围好，但实体锚点不如主选明确","备选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","城市风味与老城体验","赣南小炒鱼","P0-13_GanzhouFriedFish_sina_01.jpg","https://k.sina.cn/article_5457629507_1454cd143001001nga.html","媒体","是","两者都可","推荐卡片","轻度","菜品主体清楚，小尺寸卡片可用","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","客家/非遗线","茶园采摘场景","P0-13_GannanTeaPickingOpera_culture_01.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=1809","其他可靠来源","是","两者都可","参考资料","轻度","文件名与画面内容不一致，不可继续作为采茶戏主卡","不推荐"
"P0-13","HomeView/TopicDetailPage","推荐卡片","客家/非遗线","赣南采茶戏","P0-13_GannanTeaPickingOpera_culture_02.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=1809","其他可靠来源","是","桌面","推荐卡片","轻度","舞台人物关系清楚，适合做采茶戏条目卡","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","客家/非遗线","客家擂茶","P0-13_HakkaLeicha_culture_01.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=2250","其他可靠来源","是","两者都可","推荐卡片","轻度","手作过程信息明确，适合文化卡片","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","红色文化线","瑞金红色遗址","P0-13_RuijinRedSites_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","两者都可","推荐卡片","否","旧址立面稳定，卡片辨识度足够","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","老城总线","江南宋城","P0-13_JiangnanSongcheng_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","推荐卡片","轻度","古城墙步道线条明确，卡片表现仍然成立","主选"
"P0-13","HomeView/TopicDetailPage","推荐卡片","客家/非遗线","客家围屋","P0-13_HakkaWeiwu_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/8dcc8823a68742bf8fb3c4f5afff641a.shtml","官方","是","两者都可","推荐卡片","轻度","横向主体完整，适合卡片与承接位","主选"
